sample_id,family_id,label,subtype,scenario,behavior_mode,observation_profile,frame_count,simulator_version,feature_version,requested_depth_mode,fps,seed,split,attempted_missing_fraction,camera_residual_enabled,tracking_drift_enabled,feature_status,feature_config_id,rejection_reason,v_mean,v_std,a_mean,turn_rate_mean,turn_rate_p95,heading_change_ratio,straightness,stationary_ratio,bbox_area_mean,bbox_area_cv,bbox_scale_rate_std,observed_points,duration_seconds,nominal_fps,clock,missing_fraction,longest_missing_seconds,long_gap_count,mean_conf,boundary_fraction,usable_segments,retained_points,heading_valid_fraction,retained_duration_seconds,training_length_group
20260906:sudden_dash:202:drone:fixed_wing_drone:noisy,20260906:sudden_dash:202,drone,fixed_wing_drone,sudden_dash,cruise,noisy,321,3.0.0,3.0.0,passing_by,30.0,20260906,train,0.5669781931464175,False,False,accepted,3b9a6c638c3f3519,,23.55172618162906,1.8595060778836625,10.52153691732219,0.18369641643051804,0.4476948187627573,0.0349601991578818,0.9972178634113263,0.0,5.538176912728632e-06,0.11638293191421037,0.14171172547208796,139.0,5.467,29.99817084324127,timestamp_ms,0.1575757575757576,0.5996646341463413,1.0,0.828549577630779,0.0,2.0,139.0,1.0,4.834,standard
20260906:baseline:270:drone:racing_quad:ideal,20260906:baseline:270,drone,racing_quad,baseline,cruise,ideal,256,3.0.0,3.0.0,passing_by,30.0,20260906,train,0.74609375,False,False,accepted,3b9a6c638c3f3519,,131.14806506601087,5.026534864348342,10.482355395009781,0.03357928789015767,0.06507088687641396,0.0,0.9998597730107681,0.0,4.5460050815017545e-07,0.02173183854623536,0.07030793603315799,65.0,2.133,30.004688232536335,timestamp_ms,0.0,0.0006718750000002521,0.0,1.0,0.0,1.0,65.0,1.0,2.133,standard
20260906:sudden_dash:240:bird:pigeon:noisy,20260906:sudden_dash:240,bird,pigeon,sudden_dash,glide,noisy,278,3.0.0,3.0.0,crossing,30.0,20260906,train,0.09352517985611508,True,True,accepted,3b9a6c638c3f3519,,18.98560226060527,4.389199323454892,16.7027313235348,0.4025081570612735,0.9900563554715469,0.29044117647058815,0.9957020727038531,0.0,3.8982118612551635e-06,0.035160450291200504,0.11044529633794446,252.0,9.1,30.0,timestamp_ms,0.08029197080291972,0.03366666666666684,0.0,0.8199164816315275,0.0,1.0,252.0,1.0,9.1,standard
20260906:sudden_dash:203:bird:pigeon:ideal,20260906:sudden_dash:203,bird,pigeon,sudden_dash,thermal_circle,ideal,225,3.0.0,3.0.0,crossing,30.0,20260906,train,0.3155555555555556,False,False,accepted,3b9a6c638c3f3519,,27.569863805129202,5.712047383320631,13.43888173160636,0.4451575762444471,0.6012764743148337,0.20394736842105265,0.7569613447628107,0.0,2.1414909872849188e-06,0.22701309076102993,0.09283289784920933,154.0,5.1,30.0,timestamp_ms,0.0,0.0006666666666673635,0.0,1.0,0.0,1.0,154.0,1.0,5.1,standard
20260906:sudden_dash:40:bird:seagull:ideal,20260906:sudden_dash:40,bird,seagull,sudden_dash,thermal_circle,ideal,362,3.0.0,3.0.0,passing_by,30.0,20260906,train,0.21823204419889508,False,False,accepted,3b9a6c638c3f3519,,15.378750495563045,8.303619495812901,5.24153510044799,0.30509111140057643,0.7233288182720159,0.14946619217081852,0.5712641732979039,0.0,1.3623847999632299e-05,0.3601088025526189,0.08713550222086577,283.0,9.4,30.0,timestamp_ms,0.0,0.0006666666666673635,0.0,1.0,0.0,1.0,283.0,1.0,9.4,standard
20260906:multi_mode:93:bird:falcon:noisy,20260906:multi_mode:93,bird,falcon,multi_mode,sudden_escape,noisy,264,3.0.0,3.0.0,crossing,30.0,20260906,train,0.38257575757575757,True,False,accepted,3b9a6c638c3f3519,,20.050357464965348,9.671973504919883,12.931856097696809,0.479548920572022,1.3006766409853845,0.3352748335893943,0.9949675089516461,0.0,5.183361129330236e-06,0.1594125761601602,0.1390436381418392,163.0,8.633,30.00115834588208,timestamp_ms,0.3730769230769231,2.966667953667953,1.0,0.8233218449442116,0.0,2.0,163.0,1.0,5.632999999999999,standard
20260906:baseline:123:drone:racing_quad:ideal,20260906:baseline:123,drone,racing_quad,baseline,cruise,ideal,299,3.0.0,3.0.0,approaching,30.0,20260906,train,0.6053511705685619,False,False,accepted,3b9a6c638c3f3519,,79.22925798276796,7.707417613033482,14.280326934209437,0.011116166439018298,0.0309701482197583,0.0,0.9999833720949719,0.0,2.6395692055828244e-06,0.17371971664997873,0.009258499981202253,118.0,3.9,30.0,timestamp_ms,0.0,0.0006666666666669194,0.0,1.0,0.0,1.0,118.0,1.0,3.9,standard
20260906:baseline:185:bird:falcon:ideal,20260906:baseline:185,bird,falcon,baseline,sudden_escape,ideal,267,3.0.0,3.0.0,passing_by,30.0,20260906,train,0.44569288389513106,False,False,accepted,3b9a6c638c3f3519,,27.881188991656504,7.359102969364756,5.4902998647579695,0.06399026377525191,0.1323362178415725,0.0,0.9988956267533827,0.0,8.883021313898478e-06,0.1434396548767596,0.10667521654402583,148.0,4.9,30.0,timestamp_ms,0.0,0.0006666666666673635,0.0,1.0,0.0,1.0,148.0,1.0,4.9,standard
20260906:sudden_dash:145:bird:falcon:ideal,20260906:sudden_dash:145,bird,falcon,sudden_dash,foraging_zigzag,ideal,75,3.0.0,3.0.0,passing_by,30.0,20260906,train,0.0,False,False,accepted,3b9a6c638c3f3519,,32.51241415509851,4.113546661431708,6.367438064506755,0.11018658480682328,0.24339953963872524,0.0,0.9966773695244421,0.0,3.9075907823612726e-06,0.03795837309408205,0.09172890337429908,75.0,2.467,29.995946493717067,timestamp_ms,0.0,0.0006621621621624163,0.0,1.0,0.0,1.0,75.0,1.0,2.467,standard
20260906:sharp_turns:222:drone:fixed_wing_drone:ideal,20260906:sharp_turns:222,drone,fixed_wing_drone,sharp_turns,cruise,ideal,321,3.0.0,3.0.0,receding,30.0,20260906,train,0.12149532710280375,False,False,accepted,3b9a6c638c3f3519,,20.40059952483021,3.7674038611234337,3.959355789400202,0.14948344144986264,0.25258101501654284,0.0,0.8857274074366877,0.0,3.601868548038877e-06,0.26124956274999556,0.15903732324182124,282.0,9.366999999999999,29.998932422333727,timestamp_ms,0.0,0.0006654804270469633,0.0,1.0,0.0,1.0,282.0,1.0,9.366999999999999,standard
20260906:sharp_turns:209:bird:pigeon:noisy,20260906:sharp_turns:209,bird,pigeon,sharp_turns,thermal_circle,noisy,293,3.0.0,3.0.0,receding,30.0,20260906,train,0.07167235494880542,False,True,accepted,3b9a6c638c3f3519,,13.740618929902233,5.552541732691727,20.595028852610714,0.7440203187893536,1.7586471702948656,0.5587276327270675,0.8065482319142138,0.0,2.038195191049545e-06,0.20463654511837134,0.15044442588596657,272.0,9.733,30.001027432446318,timestamp_ms,0.07167235494880542,0.2666678082191781,1.0,0.8177476511299595,0.0,2.0,272.0,1.0,9.433,standard
20260906:baseline:30:drone:fixed_wing_drone:ideal,20260906:baseline:30,drone,fixed_wing_drone,baseline,cruise,ideal,280,3.0.0,3.0.0,receding,30.0,20260906,train,0.0,False,False,accepted,3b9a6c638c3f3519,,6.561949619781928,1.5780113820389963,1.0665336112628798,0.02897578985864264,0.11826321807374453,0.0,0.9990590291173235,0.0,3.352777380467327e-06,0.38745384502901736,0.012744263919704258,280.0,9.3,30.0,timestamp_ms,0.0,0.0006666666666673635,0.0,1.0,0.0,1.0,280.0,1.0,9.3,standard
20260906:multi_mode:9:bird:falcon:ideal,20260906:multi_mode:9,bird,falcon,multi_mode,flap_jitter,ideal,183,3.0.0,3.0.0,approaching,30.0,20260906,train,0.0,False,False,accepted,3b9a6c638c3f3519,,18.4208360323505,8.213235924335274,7.593132999998246,0.2832542219872374,1.1746629548634282,0.2541436464088397,0.7732364259300595,0.0,5.08358983277604e-06,0.30489885925727606,2.9185954509799323,183.0,6.067,29.998351738915446,timestamp_ms,0.0,0.0006648351648358627,0.0,1.0,0.0,1.0,183.0,1.0,6.067,standard
20260906:baseline:67:drone:fixed_wing_drone:ideal,20260906:baseline:67,drone,fixed_wing_drone,baseline,cruise,ideal,220,3.0.0,3.0.0,approaching,30.0,20260906,train,0.07727272727272727,False,False,accepted,3b9a6c638c3f3519,,8.77542029083378,2.3905520385524337,2.716855349833299,0.06935343119744296,0.19960923267339248,0.0,0.9998475159934074,0.0,2.009988555092132e-05,0.5281485563556738,0.03615806044768605,203.0,6.733,30.0014852220407,timestamp_ms,0.0,0.0006683168316838697,0.0,1.0,0.0,1.0,203.0,1.0,6.733,standard
20260906:sharp_turns:92:bird:falcon:ideal,20260906:sharp_turns:92,bird,falcon,sharp_turns,sudden_escape,ideal,60,3.0.0,3.0.0,receding,30.0,20260906,train,0.033333333333333326,False,False,accepted,3b9a6c638c3f3519,,14.701167167272548,0.7738698181523715,5.130065400156585,0.2799081513115338,0.6659542007718809,0.23214285714285712,0.9883845360120201,0.0,9.231966870675935e-06,0.0808026678202577,0.016367494026854987,58.0,1.9000000000000001,30.0,timestamp_ms,0.0,0.0006666666666666973,0.0,1.0,0.0,1.0,58.0,1.0,1.9000000000000001,short
20260906:baseline:203:drone:racing_quad:noisy,20260906:baseline:203,drone,racing_quad,baseline,cruise,noisy,160,3.0.0,3.0.0,receding,30.0,20260906,train,0.5625,True,True,accepted,3b9a6c638c3f3519,,24.92584364676962,1.9505785760994314,36.75362457759036,0.6719380662517173,1.4717326092238368,0.6000000000000001,0.9952290868347216,0.0,9.268937744479647e-07,0.08270934373908051,0.09418021984076005,70.0,2.533,30.00394788787999,timestamp_ms,0.09090909090909094,0.03367105263157901,0.0,0.7908128860545935,0.0,1.0,70.0,1.0,2.533,standard
20260906:sudden_dash:175:drone:fixed_wing_drone:noisy,20260906:sudden_dash:175,drone,fixed_wing_drone,sudden_dash,cruise,noisy,220,3.0.0,3.0.0,approaching,30.0,20260906,train,0.4727272727272728,True,False,accepted,3b9a6c638c3f3519,,15.927530110049291,3.0807547339909283,11.317058874541928,0.27115810734235646,0.6313596791707784,0.12499999999999997,0.9990251161308521,0.0,4.686150922481971e-06,0.20325934196530113,0.1130933127191454,116.0,4.033,30.002479543763947,timestamp_ms,0.049180327868852514,0.033669421487603476,0.0,0.8907390938521913,0.0,1.0,116.0,1.0,4.033,standard
20260906:multi_mode:285:drone:hover_quad:noisy,20260906:multi_mode:285,drone,hover_quad,multi_mode,cruise,noisy,66,3.0.0,3.0.0,receding,30.0,20260906,train,0.06060606060606055,True,False,accepted,3b9a6c638c3f3519,,3.648959763166474,0.8153900426751496,15.166441850406253,2.123846819018659,4.617044909625493,0.90625,0.9476935022610938,0.0,2.8396426642445465e-06,0.09593928018340256,0.12626397322855246,62.0,2.167,29.995385325334563,timestamp_ms,0.06060606060606055,0.03366153846153852,0.0,0.8966771473376467,0.0,1.0,62.0,1.0,2.167,standard
20260906:sharp_turns:113:drone:hover_quad:noisy,20260906:sharp_turns:113,drone,hover_quad,sharp_turns,cruise,noisy,120,3.0.0,3.0.0,receding,30.0,20260906,train,0.15833333333333333,True,True,accepted,3b9a6c638c3f3519,,10.770090274390936,3.4137750419024995,20.15636767575376,0.9055662136439926,2.517459213154095,0.5999927177701811,0.9885505715372095,0.0,2.154280310818699e-06,0.09957111246636587,0.10177010272454788,101.0,3.967,29.99747920342828,timestamp_ms,0.15833333333333333,0.3666638655462184,1.0,0.8592094153733557,0.0,2.0,101.0,1.0,3.567,standard
20260906:sudden_dash:293:bird:seagull:ideal,20260906:sudden_dash:293,bird,seagull,sudden_dash,thermal_circle,ideal,400,3.0.0,3.0.0,receding,30.0,20260906,train,0.33999999999999997,False,False,accepted,3b9a6c638c3f3519,,15.579825987934631,5.782403728263698,3.084598995802766,0.13322346838408217,0.33178667204515006,0.0,0.965564225550214,0.0,5.9321808793659745e-06,0.2245683267790938,0.14475708462225484,264.0,8.767,29.998859358959734,timestamp_ms,0.0,0.000665399239544423,0.0,1.0,0.0,1.0,264.0,1.0,8.767,standard
20260906:multi_mode:79:bird:falcon:noisy,20260906:multi_mode:79,bird,falcon,multi_mode,sudden_escape,noisy,271,3.0.0,3.0.0,crossing,30.0,20260906,train,0.5055350553505535,True,True,accepted,3b9a6c638c3f3519,,37.05226662291707,7.490125233826951,12.950891386674412,0.24504875679893515,0.8407920020496585,0.12318840579710146,0.9903819047238626,0.0,1.0704732880308291e-05,0.056994789626629155,0.14083720940704259,134.0,4.633,30.002158428663932,timestamp_ms,0.042857142857142816,0.06666906474820142,0.0,0.8118214328096679,0.0,1.0,134.0,1.0,4.633,standard
20260906:sharp_turns:110:drone:racing_quad:ideal,20260906:sharp_turns:110,drone,racing_quad,sharp_turns,cruise,ideal,397,3.0.0,3.0.0,crossing,30.0,20260906,train,0.6020151133501259,False,False,accepted,3b9a6c638c3f3519,,38.69018652700623,15.656211935853367,41.23269399184437,1.0325820705894628,1.963591066471981,0.7857293923994392,0.5940579652633209,0.0,5.266779357124871e-07,0.11011551939502542,0.2289610312647403,158.0,9.866999999999999,29.998986520725655,timestamp_ms,0.468013468013468,4.633665540540541,1.0,1.0,0.0,2.0,158.0,1.0,5.199999999999998,standard
20260906:sharp_turns:189:bird:pigeon:noisy,20260906:sharp_turns:189,bird,pigeon,sharp_turns,foraging_zigzag,noisy,128,3.0.0,3.0.0,crossing,30.0,20260906,train,0.125,True,False,accepted,3b9a6c638c3f3519,,36.23640145067002,1.757937148653322,18.560965133985587,0.25193629998935074,0.5963560123577367,0.10317460317460315,0.9932280395066655,0.0,5.0382773723154285e-06,0.23429921903239234,0.21352172990774307,112.0,4.233,30.00236239073943,timestamp_ms,0.125,0.19966929133858277,0.0,0.7650196603482805,0.0,1.0,112.0,1.0,4.233,standard
20260906:sudden_dash:99:drone:racing_quad:ideal,20260906:sudden_dash:99,drone,racing_quad,sudden_dash,cruise,ideal,375,3.0.0,3.0.0,receding,30.0,20260906,train,0.5920000000000001,False,False,accepted,3b9a6c638c3f3519,,14.532069336785879,1.9318941924136124,3.1368937625280617,0.08610678104963294,0.22811774959579154,0.0,0.9990418371124191,0.0,6.046686159895979e-07,0.308241310555173,0.013193465504439198,153.0,5.067,29.998026445628575,timestamp_ms,0.0,0.0006644736842112212,0.0,1.0,0.0,1.0,153.0,1.0,5.067,standard
20260906:baseline:172:bird:falcon:ideal,20260906:baseline:172,bird,falcon,baseline,sudden_escape,ideal,159,3.0.0,3.0.0,passing_by,30.0,20260906,train,0.7169811320754718,False,False,accepted,3b9a6c638c3f3519,,27.136288224962566,0.7354713740666547,5.121976005964429,0.12852256586618102,0.22089892696079808,0.0,0.9978985943432168,0.0,1.736761041030478e-05,0.09474217436053514,0.0799660717624567,45.0,1.467,29.993183367416492,timestamp_ms,0.0,0.0006590909090909355,0.0,1.0,0.0,1.0,45.0,1.0,1.467,short
20260906:baseline:172:bird:seagull:noisy,20260906:baseline:172,bird,seagull,baseline,sudden_escape,noisy,159,3.0.0,3.0.0,passing_by,30.0,20260906,train,0.6226415094339622,True,True,accepted,3b9a6c638c3f3519,,22.875649089721044,0.4582044887144667,8.310582552767004,0.17050000610032398,0.3976099570049673,0.03389830508474576,0.997393434435344,0.0,1.4603174874669933e-05,0.07782344124629743,0.11619701195512686,60.0,2.0,30.0,timestamp_ms,0.016393442622950838,0.033666666666666616,0.0,0.9057208897477359,0.0,1.0,60.0,1.0,2.0,standard
20260906:multi_mode:179:bird:pigeon:ideal,20260906:multi_mode:179,bird,pigeon,multi_mode,sudden_escape,ideal,144,3.0.0,3.0.0,crossing,30.0,20260906,train,0.0,False,False,accepted,3b9a6c638c3f3519,,37.8663991046024,5.150484814059069,8.516951246706897,0.14229843208722062,0.3508275614221629,0.0,0.9957492135664637,0.0,8.249644717642809e-07,0.1309715538996403,0.1347615589086158,144.0,4.767,29.99790224459828,timestamp_ms,0.0,0.0006643356643363588,0.0,1.0,0.0,1.0,144.0,1.0,4.767,standard
20260906:baseline:41:drone:racing_quad:ideal,20260906:baseline:41,drone,racing_quad,baseline,cruise,ideal,98,3.0.0,3.0.0,passing_by,30.0,20260906,train,0.19387755102040816,False,False,accepted,3b9a6c638c3f3519,,106.12198129859537,11.167859926858823,34.67333373000724,0.26334662150204324,0.4482355107873392,0.0,0.9972493670702102,0.0,6.226703312127827e-07,0.04805109885153133,0.21667432484130061,79.0,2.866,30.006978367062107,timestamp_ms,0.09195402298850575,0.2666744186046512,1.0,1.0,0.0,2.0,79.0,1.0,2.566,standard
20260906:baseline:114:drone:fixed_wing_drone:noisy,20260906:baseline:114,drone,fixed_wing_drone,baseline,cruise,noisy,95,3.0.0,3.0.0,approaching,30.0,20260906,train,0.052631578947368474,True,True,accepted,3b9a6c638c3f3519,,9.965615343325894,1.1392846178387694,5.447478786595239,0.28700166105898284,0.7051246565203797,0.15053763440860216,0.999009734844979,0.0,1.0224435106068294e-05,0.15665859467895538,0.10703648952839254,90.0,3.133,30.003191828917966,timestamp_ms,0.052631578947368474,0.06667021276595742,0.0,0.8168255760940872,0.0,1.0,90.0,1.0,3.133,standard
20260906:sudden_dash:219:bird:pigeon:ideal,20260906:sudden_dash:219,bird,pigeon,sudden_dash,foraging_zigzag,ideal,88,3.0.0,3.0.0,receding,30.0,20260906,train,0.0,False,False,accepted,3b9a6c638c3f3519,,27.6857790447356,4.85443628648629,8.871095613847315,0.10479558234789016,0.283211077548581,0.0,0.9988775419223307,0.0,2.1833311140004056e-06,0.06434367328564643,0.10209578093938049,88.0,2.9,30.0,timestamp_ms,0.0,0.0006666666666669194,0.0,1.0,0.0,1.0,88.0,1.0,2.9,standard
20260906:sharp_turns:79:drone:racing_quad:ideal,20260906:sharp_turns:79,drone,racing_quad,sharp_turns,cruise,ideal,236,3.0.0,3.0.0,passing_by,30.0,20260906,train,0.7457627118644068,False,False,accepted,3b9a6c638c3f3519,,86.29081042095963,0.2957266450986544,1.8396552430764284,0.013136182135202748,0.037823575204568256,0.0,0.9999908070076411,0.0,1.0703754091939655e-06,0.006969851992675229,0.009722484540627388,60.0,1.967,29.994916115912556,timestamp_ms,0.0,0.0006610169491525694,0.0,1.0,0.0,1.0,60.0,1.0,1.967,short
20260906:baseline:59:bird:falcon:ideal,20260906:baseline:59,bird,falcon,baseline,flap_jitter,ideal,60,3.0.0,3.0.0,approaching,30.0,20260906,train,0.1166666666666667,False,False,accepted,3b9a6c638c3f3519,,30.685378693031325,3.2747686285468696,10.367535463298143,0.043850643812599864,0.09935985582936134,0.0,0.9999735067555122,0.0,1.581695395840938e-05,0.14449259509587148,1.1240008761903755,53.0,1.733,30.005770340450084,timestamp_ms,0.0,0.0006730769230769498,0.0,1.0,0.0,1.0,53.0,1.0,1.733,short
20260906:baseline:106:drone:hover_quad:ideal,20260906:baseline:106,drone,hover_quad,baseline,cruise,ideal,250,3.0.0,3.0.0,passing_by,30.0,20260906,train,0.0,False,False,accepted,3b9a6c638c3f3519,,22.602125278987792,3.1013706452825205,3.3107970263731272,0.11499012325908457,0.2847299290951734,0.0,0.9770176173233193,0.0,2.9076423121097933e-06,0.0690085309708957,0.09567019120141827,250.0,8.3,30.0,timestamp_ms,0.0,0.0006666666666673635,0.0,1.0,0.0,1.0,250.0,1.0,8.3,standard
20260906:multi_mode:38:bird:pigeon:noisy,20260906:multi_mode:38,bird,pigeon,multi_mode,flap_jitter,noisy,170,3.0.0,3.0.0,receding,30.0,20260906,train,0.04705882352941182,True,False,accepted,3b9a6c638c3f3519,,10.972620338156744,5.263940619613441,16.953239480141075,0.82261948311255,1.9550620440489261,0.6369047619047616,0.8143872323778089,0.0,4.061725157172411e-06,0.17736033752887062,0.46394654164002935,162.0,5.633,30.001775252973548,timestamp_ms,0.04705882352941182,0.09966863905325445,0.0,0.8068449050480748,0.0,1.0,162.0,1.0,5.633,standard
20260906:sharp_turns:192:drone:hover_quad:ideal,20260906:sharp_turns:192,drone,hover_quad,sharp_turns,cruise,ideal,76,3.0.0,3.0.0,passing_by,30.0,20260906,train,0.0,False,False,accepted,3b9a6c638c3f3519,,11.384945230964025,6.4991235021714076,7.628871266590441,0.8103203309107002,2.598364033075057,0.4324324324324324,0.9154096589030376,0.0,1.9898204834689817e-06,0.17862805694158546,0.1500005052384307,76.0,2.5,30.0,timestamp_ms,0.0,0.0006666666666669194,0.0,1.0,0.0,1.0,76.0,1.0,2.5,standard
20260906:multi_mode:7:bird:pigeon:noisy,20260906:multi_mode:7,bird,pigeon,multi_mode,glide,noisy,221,3.0.0,3.0.0,receding,30.0,20260906,train,0.17194570135746612,True,True,accepted,3b9a6c638c3f3519,,16.570432147698952,5.810522852573798,27.0421136456092,0.8185517403801663,2.133099828406435,0.621626237549802,0.9789524151474069,0.0,1.656402226004465e-06,0.19762151948922127,0.1564235617617028,183.0,7.333,30.001363698349923,timestamp_ms,0.17194570135746612,0.6326681818181822,2.0,0.7078127870478329,0.0,3.0,183.0,1.0,6.267,standard
20260906:sharp_turns:218:drone:fixed_wing_drone:noisy,20260906:sharp_turns:218,drone,fixed_wing_drone,sharp_turns,cruise,noisy,97,3.0.0,3.0.0,approaching,30.0,20260906,train,0.09278350515463918,True,False,accepted,3b9a6c638c3f3519,,5.596915778005556,1.304105969214165,6.349002292962262,0.7016128770638705,2.1269444072217984,0.48421052631578965,0.9851973041470968,0.0,1.151060363195663e-05,0.14948616140202126,0.10112659882308789,88.0,3.2,30.0,timestamp_ms,0.09278350515463918,0.13366666666666668,0.0,0.9156392791454593,0.0,1.0,88.0,1.0,3.2,standard
